Date,Open,High,Low,Close,Volume
2017-08-16 21:00:00,4261.48000000,4485.39000000,4200.74000000,4285.08000000,795.15037700
2017-08-17 21:00:00,4285.08000000,4371.52000000,3938.77000000,4108.37000000,1199.88826400
2017-08-18 21:00:00,4108.37000000,4184.69000000,3850.00000000,4139.98000000,381.30976300
2017-08-19 21:00:00,4120.98000000,4211.08000000,4032.62000000,4086.29000000,467.08302200
2017-08-20 21:00:00,4069.13000000,4119.62000000,3911.79000000,4016.00000000,691.74306000
2017-08-21 21:00:00,4016.00000000,4104.82000000,3400.00000000,4040.00000000,966.68485800
2017-08-22 21:00:00,4040.00000000,4265.80000000,4013.89000000,4114.01000000,1001.13656500
2017-08-23 21:00:00,4147.00000000,4371.68000000,4085.01000000,4316.01000000,787.41875300
2017-08-24 21:00:00,4316.01000000,4453.91000000,4247.48000000,4280.68000000,573.61274000
2017-08-25 21:00:00,4280.71000000,4367.00000000,4212.41000000,4337.44000000,228.10806800
2017-08-26 21:00:00,4332.51000000,4400.00000000,4285.54000000,4310.01000000,350.69258500
2017-08-27 21:00:00,4310.01000000,4399.82000000,4124.54000000,4386.69000000,603.84161600
2017-08-28 21:00:00,4353.65000000,4625.85000000,4313.55000000,4587.48000000,603.54502800
2017-08-29 21:00:00,4564.52000000,4647.51000000,4416.01000000,4555.14000000,808.46877100
2017-08-30 21:00:00,4555.14000000,4745.42000000,4555.14000000,4724.89000000,556.95680200
2017-08-31 21:00:00,4689.89000000,4885.55000000,4654.88000000,4834.91000000,560.66636600
2017-09-01 21:00:00,4796.16000000,4939.19000000,4286.87000000,4472.14000000,929.14859500
2017-09-02 21:00:00,4508.50000000,4714.76000000,4298.33000000,4509.08000000,691.21619800
2017-09-03 21:00:00,4505.00000000,4527.49000000,3972.51000000,4100.11000000,1394.64461400
2017-09-04 21:00:00,4106.97000000,4484.99000000,3603.00000000,4366.47000000,1228.93815700
2017-09-05 21:00:00,4366.49000000,4662.87000000,4335.26000000,4619.77000000,807.36372600
2017-09-06 21:00:00,4619.77000000,4788.59000000,4438.19000000,4691.61000000,500.42997500
2017-09-07 21:00:00,4691.66000000,4735.39000000,4028.93000000,4282.80000000,1132.25504600
2017-09-08 21:00:00,4282.80000000,4426.62000000,4150.06000000,4258.81000000,658.78295200
2017-09-09 21:00:00,4258.81000000,4283.00000000,3801.00000000,4130.37000000,660.37327500
2017-09-10 21:00:00,4153.62000000,4334.43000000,4098.91000000,4208.47000000,699.98906500
2017-09-11 21:00:00,4208.60000000,4394.59000000,4040.80000000,4163.72000000,879.63031900
2017-09-12 21:00:00,4159.72000000,4165.38000000,3760.00000000,3944.69000000,913.46254500
2017-09-13 21:00:00,3944.00000000,3993.00000000,3165.13000000,3189.02000000,1665.02154300
2017-09-14 21:00:00,3188.01000000,3856.00000000,2817.00000000,3700.00000000,1968.86649200
2017-09-15 21:00:00,3674.01000000,3950.00000000,3470.66000000,3714.95000000,1297.56395300
2017-09-16 21:00:00,3685.23000000,3748.21000000,3499.02000000,3699.99000000,682.17121000
2017-09-17 21:00:00,3690.00000000,4123.20000000,3690.00000000,4035.01000000,1030.00645500
2017-09-18 21:00:00,4060.00000000,4089.97000000,3830.91000000,3910.04000000,902.33212900
2017-09-19 21:00:00,3910.04000000,4046.08000000,3820.00000000,3900.00000000,720.93507600
2017-09-20 21:00:00,3889.99000000,3910.00000000,3567.00000000,3609.99000000,1001.65408400
2017-09-21 21:00:00,3592.84000000,3750.00000000,3505.55000000,3595.87000000,838.96642500
2017-09-22 21:00:00,3595.88000000,3817.19000000,3542.91000000,3780.00000000,752.79279100
2017-09-23 21:00:00,3779.54000000,3789.99000000,3622.76000000,3660.02000000,661.63639000
2017-09-24 21:00:00,3660.02000000,3979.87000000,3653.69000000,3920.75000000,727.99471300
